指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-17,2026-07-17
交易日数,trading_days,1091,1091
期末净值,final_nav,1.0986331888357885,1.0529527034675714
累计收益率,total_return,0.09863318883578853,0.052952703467571416
年化收益率,annual_return,0.021985767631819808,0.012000588100885778
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.007985767631819808,-0.001999411899114222
年化波动率,annual_volatility,0.010371883280614056,0.01177890154387081
夏普比率,sharpe,0.7699438391045044,-0.16974519157557796
最大回撤,max_drawdown,-0.005337390202005299,-0.015884430818586592
最大回撤起点,max_drawdown_start,2025-01-06,2022-01-13
最大回撤终点,max_drawdown_end,2025-03-14,2022-07-08
Calmar比率,calmar,4.119198109885161,0.7554937433983296
日胜率_参考,win_rate,0.13565536205316223,0.1228230980751604
调仓周期数,signal_period_count,1072,1072
盈利调仓周期数,winning_signal_periods,141,128
调仓周期胜率,signal_period_win_rate,0.13152985074626866,0.11940298507462686
单周期平均收益,avg_signal_period_return,8.79676596704864e-05,4.840532886025238e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,81.61000000000283,34.429999999998145
年化资本利得_BP,capital_gain_annualized_bp,18.867633027523592,7.9599633027518655
资本利得交易笔数,capital_gain_trade_count,77,77
已平仓交易笔数,capital_gain_closed_trade_count,77,77
资本利得盈利笔数,capital_gain_winning_trades,44,42
资本利得亏损笔数,capital_gain_losing_trades,32,35
资本利得持平笔数,capital_gain_flat_trades,1,0
资本利得交易胜率,capital_gain_trade_win_rate,0.5714285714285714,0.5454545454545454
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.0598701298701665,0.44714285714283303
资本利得中位数_BP,capital_gain_median_trade_bp,0.24000000000003185,0.24999999999997247
平均每笔盈利_BP,capital_gain_avg_win_bp,2.797272727272794,2.765714285714238
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.2959375000000035,-2.3351428571428534
资本利得盈亏比,capital_gain_profit_loss_ratio,2.158493544073527,1.1843876177657957
最佳交易_BP,capital_gain_best_trade_bp,15.530000000000022,14.65000000000001
最差交易_BP,capital_gain_worst_trade_bp,-5.4700000000009945,-8.699999999999992
平均每笔持有交易日,capital_gain_avg_holding_days,2.935064935064935,2.935064935064935
最长单笔持有交易日,capital_gain_max_holding_days,20,20
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-6.8099999999980305,-24.560000000001907
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-08-04,2022-01-13
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-11-25,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,3,5
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
