指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1129,1129
期末净值,final_nav,1.1163199373839578,1.059220902797348
累计收益率,total_return,0.11631993738395785,0.05922090279734804
年化收益率,annual_return,0.02488749632961107,0.01293621831070113
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.01088749632961107,-0.0010637816892988695
年化波动率,annual_volatility,0.010887801638811439,0.011915593334618549
夏普比率,sharpe,0.9999719586000464,-0.0892764346201921
最大回撤,max_drawdown,-0.01402631265151999,-0.011784857615975697
最大回撤起点,max_drawdown_start,2025-01-08,2024-11-12
最大回撤终点,max_drawdown_end,2026-05-06,2026-06-10
Calmar比率,calmar,1.774343474862874,1.0976983118713828
日胜率_参考,win_rate,0.1762621789193977,0.15057573073516387
调仓周期数,signal_period_count,228,228
盈利调仓周期数,winning_signal_periods,48,43
调仓周期胜率,signal_period_win_rate,0.21052631578947367,0.18859649122807018
单周期平均收益,avg_signal_period_return,0.000484162504499002,0.00025381487219545317
累计资本利得_BP,capital_gain_total_bp,92.91000000000295,34.61999999999996
年化资本利得_BP,capital_gain_annualized_bp,20.756489361702787,7.734255319148928
资本利得交易笔数,capital_gain_trade_count,38,38
已平仓交易笔数,capital_gain_closed_trade_count,38,38
资本利得盈利笔数,capital_gain_winning_trades,25,22
资本利得亏损笔数,capital_gain_losing_trades,13,16
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6578947368421053,0.5789473684210527
平均单笔资本利得_BP,capital_gain_avg_trade_bp,2.445000000000078,0.9110526315789468
资本利得中位数_BP,capital_gain_median_trade_bp,2.695000000000995,0.45999999999900254
平均每笔盈利_BP,capital_gain_avg_win_bp,4.85040000000012,3.7518181818180865
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.180769230769234,-2.9949999999998727
资本利得盈亏比,capital_gain_profit_loss_ratio,2.224169312169364,1.252693883745658
最佳交易_BP,capital_gain_best_trade_bp,22.400000000000997,16.089999999999993
最差交易_BP,capital_gain_worst_trade_bp,-7.339999999999986,-6.819999999999014
平均每笔持有交易日,capital_gain_avg_holding_days,7.973684210526316,7.973684210526316
最长单笔持有交易日,capital_gain_max_holding_days,29,29
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-21.480000000000956,-19.989999999999007
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-01-08,2024-11-12
资本利得最大回撤终点,capital_gain_max_drawdown_end,2026-05-06,2026-07-28
最长连续亏损笔数,capital_gain_longest_losing_streak,4,5
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
