指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,1124,1124
期末净值,final_nav,1.222499369959594,1.1680879683831955
累计收益率,total_return,0.22249936995959407,0.1680879683831955
年化收益率,annual_return,0.04611276728712199,0.03547934770163752
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.03211276728712199,0.02147934770163752
年化波动率,annual_volatility,0.014827866053567423,0.01604092693517959
夏普比率,sharpe,2.16570389637395,1.3390340713123536
最大回撤,max_drawdown,-0.008039391114971428,-0.010897423828829855
最大回撤起点,max_drawdown_start,2025-09-04,2023-08-31
最大回撤终点,max_drawdown_end,2025-09-25,2023-11-27
Calmar比率,calmar,5.73585320426171,3.255755512396844
日胜率_参考,win_rate,0.30071174377224197,0.27669039145907476
调仓周期数,signal_period_count,227,227
盈利调仓周期数,winning_signal_periods,84,75
调仓周期胜率,signal_period_win_rate,0.3700440528634361,0.3303964757709251
单周期平均收益,avg_signal_period_return,0.0008882903034970284,0.0006878136562040609
累计资本利得_BP,capital_gain_total_bp,173.37000000000103,124.49000000000007
年化资本利得_BP,capital_gain_annualized_bp,38.904042742653836,27.93542297417633
资本利得交易笔数,capital_gain_trade_count,49,49
已平仓交易笔数,capital_gain_closed_trade_count,48,48
资本利得盈利笔数,capital_gain_winning_trades,36,34
资本利得亏损笔数,capital_gain_losing_trades,12,14
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.75,0.7083333333333334
平均单笔资本利得_BP,capital_gain_avg_trade_bp,3.6118750000000213,2.560208333333334
资本利得中位数_BP,capital_gain_median_trade_bp,2.604999999999501,1.6799999999999975
平均每笔盈利_BP,capital_gain_avg_win_bp,5.769722222222223,4.991764705882412
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.861666666666579,-3.3450000000001414
资本利得盈亏比,capital_gain_profit_loss_ratio,2.016210444573931,1.4923063395761438
最佳交易_BP,capital_gain_best_trade_bp,40.07000000000001,40.49
最差交易_BP,capital_gain_worst_trade_bp,-7.929999999999014,-6.73
平均每笔持有交易日,capital_gain_avg_holding_days,10.551020408163266,10.551020408163266
最长单笔持有交易日,capital_gain_max_holding_days,30,30
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-10.889999999999027,-14.640000000000008
资本利得最大回撤起点,capital_gain_max_drawdown_start,2023-08-30,2023-08-31
资本利得最大回撤终点,capital_gain_max_drawdown_end,2023-11-29,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,4,2
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,1.6000000000000043
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
