指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1086,1086
期末净值,final_nav,1.0897365638432084,1.051627567992795
累计收益率,total_return,0.08973656384320838,0.05162756799279511
年化收益率,annual_return,0.020159844144269856,0.011760259832549691
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.006159844144269856,-0.0022397401674503093
年化波动率,annual_volatility,0.009084803024556672,0.00947514196193782
夏普比率,sharpe,0.6780382720043013,-0.23638064489666455
最大回撤,max_drawdown,-0.007647630043416176,-0.010063100978584982
最大回撤起点,max_drawdown_start,2022-01-17,2022-01-17
最大回撤终点,max_drawdown_end,2022-04-13,2022-04-11
Calmar比率,calmar,2.636090400532046,1.1686516768117887
日胜率_参考,win_rate,0.11602209944751381,0.10497237569060773
调仓周期数,signal_period_count,1068,1068
盈利调仓周期数,winning_signal_periods,119,109
调仓周期胜率,signal_period_win_rate,0.11142322097378277,0.10205992509363296
单周期平均收益,avg_signal_period_return,8.064575660204773e-05,4.732370212174471e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,76.09000000000002,37.229999999995215
年化资本利得_BP,capital_gain_annualized_bp,17.67251612903226,8.646967741934374
资本利得交易笔数,capital_gain_trade_count,73,73
已平仓交易笔数,capital_gain_closed_trade_count,73,73
资本利得盈利笔数,capital_gain_winning_trades,46,39
资本利得亏损笔数,capital_gain_losing_trades,26,34
资本利得持平笔数,capital_gain_flat_trades,1,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6301369863013698,0.5342465753424658
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.0423287671232877,0.5099999999999345
资本利得中位数_BP,capital_gain_median_trade_bp,0.7700000000000068,0.09999999999999593
平均盈利交易_BP,capital_gain_avg_win_bp,2.5786956521739786,2.3158974358974107
平均亏损交易_BP,capital_gain_avg_loss_bp,-1.6357692307693457,-1.5614705882354056
资本利得盈亏比,capital_gain_profit_loss_ratio,1.5764422044796316,1.4831514940762167
最佳交易_BP,capital_gain_best_trade_bp,16.450000000000006,18.11
最差交易_BP,capital_gain_worst_trade_bp,-7.519999999999992,-6.399999999999982
平均每笔持有交易日,capital_gain_avg_holding_days,2.5753424657534247,2.5753424657534247
最长单笔持有交易日,capital_gain_max_holding_days,19,19
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-10.420000000001018,-12.81999999999995
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-01-17,2022-01-17
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-04-13,2022-04-11
最长连续亏损笔数,capital_gain_longest_losing_streak,3,5
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
