指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1086,1086
期末净值,final_nav,1.0691153517801035,1.050472359803434
累计收益率,total_return,0.06911535178010353,0.05047235980343401
年化收益率,annual_return,0.015643256880908174,0.011502016017028716
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.0016432568809081737,-0.0024979839829712847
年化波动率,annual_volatility,0.006713074341045309,0.006468012307480913
夏普比率,sharpe,0.2447845498836377,-0.3862058178340373
最大回撤,max_drawdown,-0.0031450798745994435,-0.004894750561625472
最大回撤起点,max_drawdown_start,2023-11-24,2023-07-11
最大回撤终点,max_drawdown_end,2023-11-29,2023-11-27
Calmar比率,calmar,4.973882223865775,2.349867653564163
日胜率_参考,win_rate,0.05985267034990792,0.05064456721915286
调仓周期数,signal_period_count,220,220
盈利调仓周期数,winning_signal_periods,17,14
调仓周期胜率,signal_period_win_rate,0.07727272727272727,0.06363636363636363
单周期平均收益,avg_signal_period_return,0.00030475790806183933,0.00022465771067413856
累计资本利得_BP（收益率变动）,capital_gain_total_bp,66.729999999998,47.02000000000094
年化资本利得_BP,capital_gain_annualized_bp,15.498580645160827,10.920774193548606
资本利得交易笔数,capital_gain_trade_count,12,12
已平仓交易笔数,capital_gain_closed_trade_count,12,12
资本利得盈利笔数,capital_gain_winning_trades,12,9
资本利得亏损笔数,capital_gain_losing_trades,0,3
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,1.0,0.75
平均单笔资本利得_BP,capital_gain_avg_trade_bp,5.560833333333168,3.9183333333334125
资本利得中位数_BP,capital_gain_median_trade_bp,3.59,2.3950000000004867
平均盈利交易_BP,capital_gain_avg_win_bp,5.560833333333168,5.576666666666774
平均亏损交易_BP,capital_gain_avg_loss_bp,,-1.056666666666671
资本利得盈亏比,capital_gain_profit_loss_ratio,,5.277602523659385
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,0.6000000000000103,-1.7500000000000155
平均每笔持有交易日,capital_gain_avg_holding_days,7.166666666666667,7.166666666666667
最长单笔持有交易日,capital_gain_max_holding_days,19,19
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-4.110000000000017,-6.749999999999986
资本利得最大回撤起点,capital_gain_max_drawdown_start,2023-11-24,2023-07-11
资本利得最大回撤终点,capital_gain_max_drawdown_end,2023-11-29,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,0,2
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
