指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1131,1131
期末净值,final_nav,1.0922471083854113,1.0364346789272476
累计收益率,total_return,0.09224710838541128,0.03643467892724761
年化收益率,annual_return,0.019872544793527958,0.008012666161829607
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.005872544793527957,-0.005987333838170393
年化波动率,annual_volatility,0.0104906252252768,0.012551216306158026
夏普比率,sharpe,0.5597897806298773,-0.47703216103707946
最大回撤,max_drawdown,-0.00974254552566789,-0.014068803819804576
最大回撤起点,max_drawdown_start,2025-01-08,2022-01-20
最大回撤终点,max_drawdown_end,2025-03-14,2022-12-06
Calmar比率,calmar,2.039769251390346,0.5695342876663204
日胜率_参考,win_rate,0.15915119363395225,0.14500442086648982
调仓周期数,signal_period_count,1112,1112
盈利调仓周期数,winning_signal_periods,174,160
调仓周期胜率,signal_period_win_rate,0.1564748201438849,0.14388489208633093
单周期平均收益,avg_signal_period_return,7.957485231143208e-05,3.249672704568771e-05
累计资本利得_BP,capital_gain_total_bp,68.72999999999689,11.19999999999799
年化资本利得_BP,capital_gain_annualized_bp,15.327398230087802,2.4976991150437997
资本利得交易笔数,capital_gain_trade_count,103,103
已平仓交易笔数,capital_gain_closed_trade_count,102,102
资本利得盈利笔数,capital_gain_winning_trades,61,59
资本利得亏损笔数,capital_gain_losing_trades,39,43
资本利得持平笔数,capital_gain_flat_trades,2,0
资本利得交易胜率,capital_gain_trade_win_rate,0.5980392156862745,0.5784313725490197
平均单笔资本利得_BP,capital_gain_avg_trade_bp,0.6914705882352638,0.11970588235292139
资本利得中位数_BP,capital_gain_median_trade_bp,0.3099999999989916,0.2499999999999898
平均每笔盈利_BP,capital_gain_avg_win_bp,2.0490163934426056,1.7016949152542702
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.3964102564103085,-2.0509302325582315
资本利得盈亏比,capital_gain_profit_loss_ratio,1.4673455626929606,0.8297185775703633
最佳交易_BP,capital_gain_best_trade_bp,13.559999999999995,14.960000000000006
最差交易_BP,capital_gain_worst_trade_bp,-7.339999999999986,-9.970000000000013
平均每笔持有交易日,capital_gain_avg_holding_days,2.7572815533980584,2.7572815533980584
最长单笔持有交易日,capital_gain_max_holding_days,19,19
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-11.68,-26.14000000000207
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-01-08,2022-01-20
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-03-14,2022-12-06
最长连续亏损笔数,capital_gain_longest_losing_streak,3,4
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,-1.7999999999999958,-1.010000000000004
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
