指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,1100,1100
期末净值,final_nav,1.0820155850695157,1.0402611564965847
累计收益率,total_return,0.08201558506951567,0.04026115649658468
年化收益率,annual_return,0.018238991472167232,0.00909194000071989
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.004238991472167232,-0.004908059999280111
年化波动率,annual_volatility,0.008110288496425266,0.008324215601396007
夏普比率,sharpe,0.5226683950929283,-0.5896123111536189
最大回撤,max_drawdown,-0.00652969724793806,-0.00926924340738966
最大回撤起点,max_drawdown_start,2024-11-12,2024-11-12
最大回撤终点,max_drawdown_end,2025-03-14,2025-03-11
Calmar比率,calmar,2.793236926555319,0.9808718577259046
日胜率_参考,win_rate,0.11818181818181818,0.09636363636363636
调仓周期数,signal_period_count,223,223
盈利调仓周期数,winning_signal_periods,34,27
调仓周期胜率,signal_period_win_rate,0.15246636771300448,0.1210762331838565
单周期平均收益,avg_signal_period_return,0.00035449706615297666,0.0001777019764562061
累计资本利得_BP（收益率变动）,capital_gain_total_bp,70.12999999999805,26.63999999999809
年化资本利得_BP,capital_gain_annualized_bp,16.080764331209743,6.108535031846696
资本利得交易笔数,capital_gain_trade_count,23,23
已平仓交易笔数,capital_gain_closed_trade_count,23,23
资本利得盈利笔数,capital_gain_winning_trades,20,14
资本利得亏损笔数,capital_gain_losing_trades,3,9
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.8695652173913043,0.6086956521739131
平均单笔资本利得_BP,capital_gain_avg_trade_bp,3.0491304347825237,1.1582608695651344
资本利得中位数_BP,capital_gain_median_trade_bp,2.7500000000000098,0.6399999999990091
平均每笔盈利_BP,capital_gain_avg_win_bp,3.977999999999902,3.1671428571427183
平均每笔亏损_BP,capital_gain_avg_loss_bp,-3.1433333333333313,-1.966666666666664
资本利得盈亏比,capital_gain_profit_loss_ratio,1.2655355249204363,1.6104116222759608
最佳交易_BP,capital_gain_best_trade_bp,22.400000000000997,16.089999999999993
最差交易_BP,capital_gain_worst_trade_bp,-7.339999999999986,-3.3299999999999996
平均每笔持有交易日,capital_gain_avg_holding_days,8.043478260869565,8.043478260869565
最长单笔持有交易日,capital_gain_max_holding_days,29,29
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-8.039999999999992,-13.600000000000001
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-11-12,2022-09-01
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-03-14,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,1,4
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
