指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1086,1086
期末净值,final_nav,1.148683395053293,1.1091626122558567
累计收益率,total_return,0.1486833950532931,0.10916261225585666
年化收益率,annual_return,0.032718638352923435,0.024355027201083956
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.018718638352923436,0.010355027201083956
年化波动率,annual_volatility,0.011668364410160987,0.01294985362077952
夏普比率,sharpe,1.6042212682887214,0.7996250385771257
最大回撤,max_drawdown,-0.011717476437037244,-0.013088736276454571
最大回撤起点,max_drawdown_start,2025-01-08,2025-02-06
最大回撤终点,max_drawdown_end,2025-03-19,2025-03-17
Calmar比率,calmar,2.7922939319514706,1.860762313997907
日胜率_参考,win_rate,0.5478821362799263,0.5230202578268877
调仓周期数,signal_period_count,220,220
盈利调仓周期数,winning_signal_periods,142,134
调仓周期胜率,signal_period_win_rate,0.6454545454545455,0.6090909090909091
单周期平均收益,avg_signal_period_return,0.0006318843408423602,0.0004728791757118444
累计资本利得_BP（收益率变动）,capital_gain_total_bp,96.409999999999,61.32999999999997
年化资本利得_BP,capital_gain_annualized_bp,22.39199999999977,14.244387096774187
资本利得交易笔数,capital_gain_trade_count,14,14
已平仓交易笔数,capital_gain_closed_trade_count,13,13
资本利得盈利笔数,capital_gain_winning_trades,12,10
资本利得亏损笔数,capital_gain_losing_trades,1,3
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.9230769230769231,0.7692307692307693
平均单笔资本利得_BP,capital_gain_avg_trade_bp,6.881153846153807,4.585384615384614
资本利得中位数_BP,capital_gain_median_trade_bp,1.625000000000012,1.5800000000000012
平均每笔盈利_BP,capital_gain_avg_win_bp,7.520416666666624,6.629999999999948
平均每笔亏损_BP,capital_gain_avg_loss_bp,-0.7900000000000096,-2.229999999999834
资本利得盈亏比,capital_gain_profit_loss_ratio,9.51951476793232,2.973094170403786
最佳交易_BP,capital_gain_best_trade_bp,41.01499999999951,29.995000000000008
最差交易_BP,capital_gain_worst_trade_bp,-0.7900000000000096,-3.254999999999505
平均每笔持有交易日,capital_gain_avg_holding_days,70.85714285714286,70.85714285714286
最长单笔持有交易日,capital_gain_max_holding_days,242,242
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-14.659999999999016,-16.360000000000003
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-01-08,2022-08-18
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-03-19,2022-12-06
最长连续亏损笔数,capital_gain_longest_losing_streak,1,1
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,6.954999999999511,1.7199999999999878
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
