指标,字段,策略,基准
起始日期,start_date,2024-01-16,2024-01-16
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,639,639
期末净值,final_nav,1.098194238086771,1.128812541547354
累计收益率,total_return,0.09819423808677108,0.128812541547354
年化收益率,annual_return,0.03768999843709975,0.0490224835332167
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.02368999843709975,0.0350224835332167
年化波动率,annual_volatility,0.013338716973764063,0.013682762721394189
夏普比率,sharpe,1.7760327686460124,2.559606144339257
最大回撤,max_drawdown,-0.005562873360024145,-0.02532986739859333
最大回撤起点,max_drawdown_start,2025-02-13,2025-02-06
最大回撤终点,max_drawdown_end,2025-03-27,2025-03-17
Calmar比率,calmar,6.775275293510575,1.9353628174121082
日胜率_参考,win_rate,0.23317683881064163,0.19561815336463223
调仓周期数,signal_period_count,632,632
盈利调仓周期数,winning_signal_periods,148,124
调仓周期胜率,signal_period_win_rate,0.23417721518987342,0.1962025316455696
单周期平均收益,avg_signal_period_return,0.0001485757564194462,8.077279158893633e-05
累计资本利得_BP,capital_gain_total_bp,86.39000000000185,39.71999999999799
年化资本利得_BP,capital_gain_annualized_bp,34.122695924765615,15.68877742946629
资本利得交易笔数,capital_gain_trade_count,65,65
已平仓交易笔数,capital_gain_closed_trade_count,64,64
资本利得盈利笔数,capital_gain_winning_trades,41,32
资本利得亏损笔数,capital_gain_losing_trades,19,29
资本利得持平笔数,capital_gain_flat_trades,4,3
资本利得交易胜率,capital_gain_trade_win_rate,0.640625,0.5
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.3348437500000285,0.5918749999999684
资本利得中位数_BP,capital_gain_median_trade_bp,0.5000000000005,0.11000000000000598
平均每笔盈利_BP,capital_gain_avg_win_bp,2.8451219512196078,2.7515624999999675
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.6431578947369516,-1.7300000000000333
资本利得盈亏比,capital_gain_profit_loss_ratio,1.7314963828689605,1.5904985549132453
最佳交易_BP,capital_gain_best_trade_bp,17.439999999999994,19.31000000000002
最差交易_BP,capital_gain_worst_trade_bp,-5.000000000000004,-5.549999999999999
平均每笔持有交易日,capital_gain_avg_holding_days,3.3076923076923075,3.3076923076923075
最长单笔持有交易日,capital_gain_max_holding_days,18,18
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-6.489999999999,-11.81000000000001
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-01-06,2025-04-07
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-03-27,2025-05-12
最长连续亏损笔数,capital_gain_longest_losing_streak,3,3
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.9600000000000233,1.8400000000000014
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
