指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-17,2026-07-17
交易日数,trading_days,1091,1091
期末净值,final_nav,1.1905942044348339,1.0845215079031865
累计收益率,total_return,0.19059420443483388,0.08452150790318647
年化收益率,annual_return,0.04115652737485598,0.018935764301205582
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.02715652737485598,0.004935764301205582
年化波动率,annual_volatility,0.01428239298028846,0.015002662447087763
夏普比率,sharpe,1.9013989751112075,0.3289925583951058
最大回撤,max_drawdown,-0.0088581899690513,-0.017553042943210584
最大回撤起点,max_drawdown_start,2022-02-10,2022-08-18
最大回撤终点,max_drawdown_end,2022-04-08,2022-11-30
Calmar比率,calmar,4.6461554243754595,1.0787738833926699
日胜率_参考,win_rate,0.2612282309807516,0.23006416131989002
调仓周期数,signal_period_count,1072,1072
盈利调仓周期数,winning_signal_periods,279,247
调仓周期胜率,signal_period_win_rate,0.26026119402985076,0.23041044776119404
单周期平均收益,avg_signal_period_return,0.00016315982387946952,7.614229593072347e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,148.93000000000308,46.61999999999617
年化资本利得_BP,capital_gain_annualized_bp,34.43152293578053,10.778201834861498
资本利得交易笔数,capital_gain_trade_count,103,103
已平仓交易笔数,capital_gain_closed_trade_count,103,103
资本利得盈利笔数,capital_gain_winning_trades,63,53
资本利得亏损笔数,capital_gain_losing_trades,37,50
资本利得持平笔数,capital_gain_flat_trades,3,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6116504854368932,0.5145631067961165
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.445922330097117,0.45262135922326396
资本利得中位数_BP,capital_gain_median_trade_bp,0.7000000000000062,0.08000000000001062
平均每笔盈利_BP,capital_gain_avg_win_bp,3.387142857142876,3.0564150943395476
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.7421621621621124,-2.3073999999999977
资本利得盈亏比,capital_gain_profit_loss_ratio,1.9442178981428793,1.3246143253616844
最佳交易_BP,capital_gain_best_trade_bp,18.010000000000005,14.940000000000023
最差交易_BP,capital_gain_worst_trade_bp,-7.479999999999987,-12.309999999999995
平均每笔持有交易日,capital_gain_avg_holding_days,4.320388349514563,4.320388349514563
最长单笔持有交易日,capital_gain_max_holding_days,28,28
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-12.21000000000101,-27.399999999999928
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-09-05,2022-01-28
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-11-25,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,5,7
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
