指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,1126,1126
期末净值,final_nav,1.174135034093497,1.0721929534188486
累计收益率,total_return,0.17413503409349707,0.07219295341884857
年化收益率,annual_return,0.036613457163134244,0.015736690861523295
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.022613457163134246,0.0017366908615232945
年化波动率,annual_volatility,0.013116996265898432,0.014822502521440777
夏普比率,sharpe,1.7239813677407771,0.11716583343542482
最大回撤,max_drawdown,-0.007339761995066252,-0.020108495709189933
最大回撤起点,max_drawdown_start,2024-08-05,2022-01-20
最大回撤终点,max_drawdown_end,2024-08-12,2022-05-16
Calmar比率,calmar,4.988371174398518,0.7825891647544452
日胜率_参考,win_rate,0.2761989342806394,0.2433392539964476
调仓周期数,signal_period_count,1107,1107
盈利调仓周期数,winning_signal_periods,304,269
调仓周期胜率,signal_period_win_rate,0.27461607949412825,0.24299909665763325
单周期平均收益,avg_signal_period_return,0.00014537291282202798,6.341016946696984e-05
累计资本利得_BP,capital_gain_total_bp,131.8100000000038,31.080000000001146
年化资本利得_BP,capital_gain_annualized_bp,29.525440000000856,6.961920000000257
资本利得交易笔数,capital_gain_trade_count,140,140
已平仓交易笔数,capital_gain_closed_trade_count,139,139
资本利得盈利笔数,capital_gain_winning_trades,87,68
资本利得亏损笔数,capital_gain_losing_trades,46,66
资本利得持平笔数,capital_gain_flat_trades,6,5
资本利得交易胜率,capital_gain_trade_win_rate,0.6258992805755396,0.4892086330935252
平均单笔资本利得_BP,capital_gain_avg_trade_bp,0.9413669064748473,0.21035971223022398
资本利得中位数_BP,capital_gain_median_trade_bp,0.3999999999999837,0.0
平均每笔盈利_BP,capital_gain_avg_win_bp,2.371609195402287,2.6604411764705596
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.6408695652172858,-2.2980303030302567
资本利得盈亏比,capital_gain_profit_loss_ratio,1.4453368175478567,1.1577050019585975
最佳交易_BP,capital_gain_best_trade_bp,15.779999999999994,14.750000000000005
最差交易_BP,capital_gain_worst_trade_bp,-7.410000000000992,-12.309999999999995
平均每笔持有交易日,capital_gain_avg_holding_days,3.4285714285714284,3.4285714285714284
最长单笔持有交易日,capital_gain_max_holding_days,28,28
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-10.489999999998943,-28.48999999999883
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-11-11,2022-01-20
资本利得最大回撤终点,capital_gain_max_drawdown_end,2026-03-26,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,4,6
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.9600000000000233,1.8400000000000014
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
