指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1086,1086
期末净值,final_nav,1.0938510392532204,1.0380569197023422
累计收益率,total_return,0.09385103925322036,0.03805691970234215
年化收益率,annual_return,0.02105315675676267,0.008712719222196075
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.0070531567567626696,-0.0052872807778039255
年化波动率,annual_volatility,0.009048285227841386,0.009295637430044022
夏普比率,sharpe,0.7795020359283383,-0.5687916312995532
最大回撤,max_drawdown,-0.006195215163054213,-0.010729390386931437
最大回撤起点,max_drawdown_start,2025-11-11,2022-09-06
最大回撤终点,max_drawdown_end,2026-05-06,2022-09-30
Calmar比率,calmar,3.398293070160869,0.8120423349315634
日胜率_参考,win_rate,0.13075506445672191,0.11233885819521179
调仓周期数,signal_period_count,220,220
盈利调仓周期数,winning_signal_periods,35,28
调仓周期胜率,signal_period_win_rate,0.1590909090909091,0.12727272727272726
单周期平均收益,avg_signal_period_return,0.00040894535497899213,0.00017087186193292172
累计资本利得_BP（收益率变动）,capital_gain_total_bp,78.31999999999807,20.290000000002003
年化资本利得_BP,capital_gain_annualized_bp,18.19045161290278,4.712516129032723
资本利得交易笔数,capital_gain_trade_count,29,29
已平仓交易笔数,capital_gain_closed_trade_count,29,29
资本利得盈利笔数,capital_gain_winning_trades,22,15
资本利得亏损笔数,capital_gain_losing_trades,7,14
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7586206896551724,0.5172413793103449
平均单笔资本利得_BP,capital_gain_avg_trade_bp,2.700689655172348,0.6996551724138624
资本利得中位数_BP,capital_gain_median_trade_bp,2.7500000000000098,1.1102230246251565e-16
平均每笔盈利_BP,capital_gain_avg_win_bp,4.337727272727275,3.8073333333334016
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.4442857142859933,-2.629999999999929
资本利得盈亏比,capital_gain_profit_loss_ratio,1.7746400297537963,1.4476552598226253
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-4.010000000000993,-8.800000000000994
平均每笔持有交易日,capital_gain_avg_holding_days,7.448275862068965,7.448275862068965
最长单笔持有交易日,capital_gain_max_holding_days,30,30
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-8.419999999999987,-14.449999999999996
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-11-11,2025-04-29
资本利得最大回撤终点,capital_gain_max_drawdown_end,2026-05-06,2026-06-10
最长连续亏损笔数,capital_gain_longest_losing_streak,2,4
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
