指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1131,1131
期末净值,final_nav,1.1945763708110209,1.0644926809511814
累计收益率,total_return,0.19457637081102086,0.06449268095118144
年化收益率,annual_return,0.0404456228466723,0.014035262918018043
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.026445622846672304,3.5262918018042974e-05
年化波动率,annual_volatility,0.013647356223489667,0.014932880383983464
夏普比率,sharpe,1.937783583398696,0.0023614277427591846
最大回撤,max_drawdown,-0.007872460389905633,-0.020980216758432424
最大回撤起点,max_drawdown_start,2022-09-13,2022-01-20
最大回撤终点,max_drawdown_end,2022-11-25,2022-04-28
Calmar比率,calmar,5.137608935896738,0.6689760682466235
日胜率_参考,win_rate,0.28735632183908044,0.2493368700265252
调仓周期数,signal_period_count,1112,1112
盈利调仓周期数,winning_signal_periods,317,276
调仓周期胜率,signal_period_win_rate,0.28507194244604317,0.24820143884892087
单周期平均收益,avg_signal_period_return,0.00016027268644018474,5.665050007308138e-05
累计资本利得_BP,capital_gain_total_bp,148.90000000000987,21.15999999999116
年化资本利得_BP,capital_gain_annualized_bp,33.20601769911724,4.718867256635197
资本利得交易笔数,capital_gain_trade_count,125,125
已平仓交易笔数,capital_gain_closed_trade_count,124,124
资本利得盈利笔数,capital_gain_winning_trades,79,60
资本利得亏损笔数,capital_gain_losing_trades,43,64
资本利得持平笔数,capital_gain_flat_trades,2,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6370967741935484,0.4838709677419355
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.199112903225886,0.1634677419354126
资本利得中位数_BP,capital_gain_median_trade_bp,0.6600000000000008,-0.020000000000002904
平均每笔盈利_BP,capital_gain_avg_win_bp,2.8070886075950243,2.735499999999916
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.6993023255813269,-2.24781250000006
资本利得盈亏比,capital_gain_profit_loss_ratio,1.6519065297193227,1.216960934241554
最佳交易_BP,capital_gain_best_trade_bp,17.439999999999994,19.31000000000002
最差交易_BP,capital_gain_worst_trade_bp,-7.410000000000992,-12.309999999999995
平均每笔持有交易日,capital_gain_avg_holding_days,3.92,3.92
最长单笔持有交易日,capital_gain_max_holding_days,28,28
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-13.200000000000028,-36.55000000000085
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-09-05,2022-01-20
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-11-25,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,6,7
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.21000000000000185,0.8899999999999879
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
