指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1086,1086
期末净值,final_nav,1.0691153517801035,1.2082842123710111
累计收益率,total_return,0.06911535178010353,0.20828421237101113
年化收益率,annual_return,0.015643256880908174,0.04492335544346693
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.0016432568809081737,0.03092335544346693
年化波动率,annual_volatility,0.006713074341045309,0.02475797580828406
夏普比率,sharpe,0.2447845498836377,1.2490259980430194
最大回撤,max_drawdown,-0.0031450798745994435,-0.02532986739859333
最大回撤起点,max_drawdown_start,2023-11-24,2025-02-06
最大回撤终点,max_drawdown_end,2023-11-29,2025-03-17
Calmar比率,calmar,4.973882223865775,1.7735329892000027
日胜率_参考,win_rate,0.05985267034990792,0.570902394106814
调仓周期数,signal_period_count,220,220
盈利调仓周期数,winning_signal_periods,17,144
调仓周期胜率,signal_period_win_rate,0.07727272727272727,0.6545454545454545
单周期平均收益,avg_signal_period_return,0.00030475790806183933,0.0008664006069252762
累计资本利得_BP（收益率变动）,capital_gain_total_bp,66.729999999998,104.57999999999998
年化资本利得_BP,capital_gain_annualized_bp,15.498580645160827,24.289548387096772
资本利得交易笔数,capital_gain_trade_count,12,1
已平仓交易笔数,capital_gain_closed_trade_count,12,0
资本利得盈利笔数,capital_gain_winning_trades,12,0
资本利得亏损笔数,capital_gain_losing_trades,0,0
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,1.0,
平均单笔资本利得_BP,capital_gain_avg_trade_bp,5.560833333333168,
资本利得中位数_BP,capital_gain_median_trade_bp,3.59,
平均盈利交易_BP,capital_gain_avg_win_bp,5.560833333333168,
平均亏损交易_BP,capital_gain_avg_loss_bp,,
资本利得盈亏比,capital_gain_profit_loss_ratio,,
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,
最差交易_BP,capital_gain_worst_trade_bp,0.6000000000000103,
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-4.110000000000017,-35.309999999999995
资本利得最大回撤起点,capital_gain_max_drawdown_start,2023-11-24,2022-08-18
资本利得最大回撤终点,capital_gain_max_drawdown_end,2023-11-29,2023-01-20
最长连续亏损笔数,capital_gain_longest_losing_streak,0,0
当前未平仓交易数,capital_gain_open_trade_count,0,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,104.57999999999998
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
