指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1129,1129
期末净值,final_nav,1.1107448485455875,1.0616739506664135
累计收益率,total_return,0.11074484854558753,0.06167395066641346
年化收益率,annual_return,0.023741786549220878,0.013459822169157976
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.009741786549220878,-0.0005401778308420247
年化波动率,annual_volatility,0.010512043224642253,0.011009468400094464
夏普比率,sharpe,0.9267262644415554,-0.049064842298597255
最大回撤,max_drawdown,-0.014800469830443252,-0.011653560089942783
最大回撤起点,max_drawdown_start,2025-01-08,2024-11-12
最大回撤终点,max_drawdown_end,2025-09-25,2025-03-11
Calmar比率,calmar,1.6041238434462486,1.1549965903358603
日胜率_参考,win_rate,0.15677590788308238,0.13994685562444642
调仓周期数,signal_period_count,228,228
盈利调仓周期数,winning_signal_periods,44,42
调仓周期胜率,signal_period_win_rate,0.19298245614035087,0.18421052631578946
单周期平均收益,avg_signal_period_return,0.0004620804619412238,0.0002638233623364165
累计资本利得_BP,capital_gain_total_bp,92.11999999999898,41.42000000000104
年化资本利得_BP,capital_gain_annualized_bp,20.57999999999977,9.253404255319381
资本利得交易笔数,capital_gain_trade_count,38,38
已平仓交易笔数,capital_gain_closed_trade_count,38,38
资本利得盈利笔数,capital_gain_winning_trades,29,25
资本利得亏损笔数,capital_gain_losing_trades,9,13
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7631578947368421,0.6578947368421053
平均单笔资本利得_BP,capital_gain_avg_trade_bp,2.424210526315763,1.0900000000000276
资本利得中位数_BP,capital_gain_median_trade_bp,2.4150000000000045,0.6800000000000035
平均每笔盈利_BP,capital_gain_avg_win_bp,3.858620689655172,3.39999999999992
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.19777777777789,-3.3523076923074577
资本利得盈亏比,capital_gain_profit_loss_ratio,1.75569192148103,1.0142267094998176
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000017,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-7.339999999999986,-6.819999999999014
平均每笔持有交易日,capital_gain_avg_holding_days,7.052631578947368,7.052631578947368
最长单笔持有交易日,capital_gain_max_holding_days,20,20
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-19.52000000000099,-14.209999999997983
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-01-08,2024-11-12
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-09-25,2025-09-24
最长连续亏损笔数,capital_gain_longest_losing_streak,4,3
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
