指标,字段,策略,基准
起始日期,start_date,2022-01-12,2022-01-12
结束日期,end_date,2026-07-13,2026-07-13
交易日数,trading_days,1088,1088
期末净值,final_nav,1.0789706100031793,1.026539768839122
累计收益率,total_return,0.07897061000317929,0.026539768839122013
年化收益率,annual_return,0.017777025127469814,0.00609097928391944
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.003777025127469814,-0.00790902071608056
年化波动率,annual_volatility,0.010021331516836146,0.011042248831475998
夏普比率,sharpe,0.3768985310110034,-0.7162509047555465
最大回撤,max_drawdown,-0.006159320234208954,-0.017332273566815992
最大回撤起点,max_drawdown_start,2022-08-04,2022-08-04
最大回撤终点,max_drawdown_end,2022-11-08,2023-11-27
Calmar比率,calmar,2.8861991991804485,0.3514241371992363
日胜率_参考,win_rate,0.13143382352941177,0.11580882352941177
调仓周期数,signal_period_count,1060,1060
盈利调仓周期数,winning_signal_periods,140,124
调仓周期胜率,signal_period_win_rate,0.1320754716981132,0.1169811320754717
单周期平均收益,avg_signal_period_return,7.190856412621669e-05,2.49538115224972e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,60.099999999994154,5.390000000004068
年化资本利得_BP,capital_gain_annualized_bp,13.933026678931489,1.2495676172962513
资本利得交易笔数,capital_gain_trade_count,81,81
已平仓交易笔数,capital_gain_closed_trade_count,81,81
资本利得盈利笔数,capital_gain_winning_trades,47,37
资本利得亏损笔数,capital_gain_losing_trades,33,43
资本利得持平笔数,capital_gain_flat_trades,1,1
资本利得交易胜率,capital_gain_trade_win_rate,0.5802469135802469,0.4567901234567901
平均单笔资本利得_BP,capital_gain_avg_trade_bp,0.7419753086419031,0.0665432098765935
资本利得中位数_BP,capital_gain_median_trade_bp,0.3999999999999837,-0.15000000000001124
平均每笔盈利_BP,capital_gain_avg_win_bp,2.3544680851062787,2.5378378378378663
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.5321212121212406,-2.058372093023186
资本利得盈亏比,capital_gain_profit_loss_ratio,1.5367374764340536,1.232934437092215
最佳交易_BP,capital_gain_best_trade_bp,11.069999999998998,10.030000000000005
最差交易_BP,capital_gain_worst_trade_bp,-7.410000000000991,-9.469999999999999
平均每笔持有交易日,capital_gain_avg_holding_days,2.802469135802469,2.802469135802469
最长单笔持有交易日,capital_gain_max_holding_days,15,15
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-12.200000000003907,-30.75999999999896
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-08-04,2022-01-12
资本利得最大回撤终点,capital_gain_max_drawdown_end,2023-12-08,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,3,6
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
