指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-17,2026-07-17
交易日数,trading_days,1091,1091
期末净值,final_nav,1.1631503688812006,1.103038937146668
累计收益率,total_return,0.1631503688812006,0.10303893714666801
年化收益率,annual_return,0.03555824241758243,0.022931824933678513
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.021558242417582432,0.008931824933678513
年化波动率,annual_volatility,0.012852522920875397,0.014109347191673172
夏普比率,sharpe,1.6773549092503062,0.6330431034364052
最大回撤,max_drawdown,-0.008222752722483406,-0.017485440302288158
最大回撤起点,max_drawdown_start,2022-08-09,2022-02-08
最大回撤终点,max_drawdown_end,2022-11-25,2022-12-27
Calmar比率,calmar,4.324372095047418,1.3114811258528982
日胜率_参考,win_rate,0.21264894592117323,0.19431714023831348
调仓周期数,signal_period_count,1072,1072
盈利调仓周期数,winning_signal_periods,222,201
调仓周期胜率,signal_period_win_rate,0.20708955223880596,0.1875
单周期平均收益,avg_signal_period_return,0.00014132056965205264,9.187428676131669e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,132.42999999999995,73.97999999998905
年化资本利得_BP,capital_gain_annualized_bp,30.616844036697234,17.103633027520406
资本利得交易笔数,capital_gain_trade_count,101,101
已平仓交易笔数,capital_gain_closed_trade_count,100,100
资本利得盈利笔数,capital_gain_winning_trades,62,59
资本利得亏损笔数,capital_gain_losing_trades,35,39
资本利得持平笔数,capital_gain_flat_trades,3,2
资本利得交易胜率,capital_gain_trade_win_rate,0.62,0.59
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.3172999999999992,0.7395999999999003
资本利得中位数_BP,capital_gain_median_trade_bp,0.549999999999995,0.4450000000000114
平均每笔盈利_BP,capital_gain_avg_win_bp,3.085967741935518,2.8105084745761846
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.7028571428572044,-2.355384615384739
资本利得盈亏比,capital_gain_profit_loss_ratio,1.8122293786533428,1.1932269813680105
最佳交易_BP,capital_gain_best_trade_bp,17.45,14.960000000000006
最差交易_BP,capital_gain_worst_trade_bp,-5.690000000000001,-9.93000000000098
平均每笔持有交易日,capital_gain_avg_holding_days,3.594059405940594,3.594059405940594
最长单笔持有交易日,capital_gain_max_holding_days,22,22
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-13.810000000000977,-28.450000000001047
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-08-09,2022-02-08
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-12-28,2022-12-27
最长连续亏损笔数,capital_gain_longest_losing_streak,6,3
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.7000000000000062,0.019999999999013862
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
