指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-20,2026-07-20
交易日数,trading_days,1090,1090
期末净值,final_nav,1.1863659504124773,1.1298181996327874
累计收益率,total_return,0.18636595041247728,0.1298181996327874
年化收益率,annual_return,0.04033825638399202,0.028647192473617578
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.026338256383992023,0.014647192473617577
年化波动率,annual_volatility,0.013779673896789529,0.01458684242411365
夏普比率,sharpe,1.9113845930801359,1.0041372935793262
最大回撤,max_drawdown,-0.007413030758258943,-0.012473781099143655
最大回撤起点,max_drawdown_start,2024-04-25,2022-08-04
最大回撤终点,max_drawdown_end,2024-04-29,2022-09-30
Calmar比率,calmar,5.441533658692932,2.296592528434241
日胜率_参考,win_rate,0.24954128440366974,0.22752293577981653
调仓周期数,signal_period_count,221,221
盈利调仓周期数,winning_signal_periods,66,59
调仓周期胜率,signal_period_win_rate,0.2986425339366516,0.2669683257918552
单周期平均收益,avg_signal_period_return,0.0007758652043699624,0.0005550677276663217
累计资本利得_BP（收益率变动）,capital_gain_total_bp,148.87,95.29000000000299
年化资本利得_BP,capital_gain_annualized_bp,34.44925619834711,22.050578512397387
资本利得交易笔数,capital_gain_trade_count,45,45
已平仓交易笔数,capital_gain_closed_trade_count,45,45
资本利得盈利笔数,capital_gain_winning_trades,30,30
资本利得亏损笔数,capital_gain_losing_trades,15,15
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6666666666666666,0.6666666666666666
平均单笔资本利得_BP,capital_gain_avg_trade_bp,3.308222222222223,2.117555555555622
资本利得中位数_BP,capital_gain_median_trade_bp,1.299999999999982,1.189999999999976
平均每笔盈利_BP,capital_gain_avg_win_bp,5.690333333333399,4.8116666666667
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.4560000000001283,-3.2706666666665356
资本利得盈亏比,capital_gain_profit_loss_ratio,3.9081959706956715,1.4711577660008845
最佳交易_BP,capital_gain_best_trade_bp,33.769999999999015,31.879999999999995
最差交易_BP,capital_gain_worst_trade_bp,-4.010000000000993,-8.550000000000017
平均每笔持有交易日,capital_gain_avg_holding_days,9.466666666666667,9.466666666666667
最长单笔持有交易日,capital_gain_max_holding_days,41,41
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-9.999999999999034,-18.17000000000003
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-11-11,2022-08-04
资本利得最大回撤终点,capital_gain_max_drawdown_end,2026-03-17,2022-11-11
最长连续亏损笔数,capital_gain_longest_losing_streak,3,3
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
