指标,字段,策略,基准
起始日期,start_date,2024-01-18,2024-01-18
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,637,637
期末净值,final_nav,1.0816447288323383,1.1306764581262976
累计收益率,total_return,0.08164472883233831,0.13067645812629758
年化收益率,annual_return,0.03158551174435509,0.049866463758982515
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.01758551174435509,0.03586646375898252
年化波动率,annual_volatility,0.0130820937606936,0.014834527655115644
夏普比率,sharpe,1.344242906834412,2.417769179635057
最大回撤,max_drawdown,-0.00733976199506603,-0.02532986739859311
最大回撤起点,max_drawdown_start,2024-08-05,2025-02-06
最大回撤终点,max_drawdown_end,2024-08-12,2025-03-17
Calmar比率,calmar,4.303342774001072,1.9686823848810293
日胜率_参考,win_rate,0.2668759811616955,0.24175824175824176
调仓周期数,signal_period_count,133,133
盈利调仓周期数,winning_signal_periods,42,38
调仓周期胜率,signal_period_win_rate,0.3157894736842105,0.2857142857142857
单周期平均收益,avg_signal_period_return,0.0005916840720700897,0.0003452522038354136
累计资本利得_BP,capital_gain_total_bp,64.779999999999,29.62000000000208
年化资本利得_BP,capital_gain_annualized_bp,25.667547169810927,11.736226415095164
资本利得交易笔数,capital_gain_trade_count,32,32
已平仓交易笔数,capital_gain_closed_trade_count,31,31
资本利得盈利笔数,capital_gain_winning_trades,20,21
资本利得亏损笔数,capital_gain_losing_trades,10,9
资本利得持平笔数,capital_gain_flat_trades,1,1
资本利得交易胜率,capital_gain_trade_win_rate,0.6451612903225806,0.6774193548387096
平均单笔资本利得_BP,capital_gain_avg_trade_bp,2.0896774193548064,0.9038709677420025
资本利得中位数_BP,capital_gain_median_trade_bp,1.0799999999999699,0.4499999999989923
平均每笔盈利_BP,capital_gain_avg_win_bp,3.9144999999999497,2.884761904761955
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.3509999999999982,-3.6177777777776643
资本利得盈亏比,capital_gain_profit_loss_ratio,2.8974833456698406,0.7973850473850862
最佳交易_BP,capital_gain_best_trade_bp,19.28999999999896,13.040000000000033
最差交易_BP,capital_gain_worst_trade_bp,-3.4700000000000015,-7.010000000000002
平均每笔持有交易日,capital_gain_avg_holding_days,8.34375,8.34375
最长单笔持有交易日,capital_gain_max_holding_days,31,31
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-8.850000000000009,-12.309999999999995
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-08-05,2024-07-26
资本利得最大回撤终点,capital_gain_max_drawdown_end,2024-08-15,2024-08-12
最长连续亏损笔数,capital_gain_longest_losing_streak,3,2
当前未平仓交易数,capital_gain_open_trade_count,1,1
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,1.6000000000000043
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
