指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1088,1088
期末净值,final_nav,1.1182603953804695,1.0581087813601127
累计收益率,total_return,0.11826039538046951,0.05810878136011266
年化收益率,annual_return,0.026251360815649827,0.013180637587168587
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.012251360815649827,-0.0008193624128314137
年化波动率,annual_volatility,0.009628422195636912,0.010488502963598987
夏普比率,sharpe,1.2724162450210679,-0.07812005351717617
最大回撤,max_drawdown,-0.00787883364427866,-0.01523551960949543
最大回撤起点,max_drawdown_start,2022-02-10,2022-01-13
最大回撤终点,max_drawdown_end,2022-04-08,2022-11-30
Calmar比率,calmar,3.3318841342351058,0.8651255700497309
日胜率_参考,win_rate,0.15165441176470587,0.12775735294117646
调仓周期数,signal_period_count,1070,1070
盈利调仓周期数,winning_signal_periods,158,134
调仓周期胜率,signal_period_win_rate,0.14766355140186915,0.1252336448598131
单周期平均收益,avg_signal_period_return,0.00010466597076113602,5.301888947231605e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,100.18999999999505,38.90000000000012
年化资本利得_BP,capital_gain_annualized_bp,23.227120515178246,9.018215271389172
资本利得交易笔数,capital_gain_trade_count,78,78
已平仓交易笔数,capital_gain_closed_trade_count,78,78
资本利得盈利笔数,capital_gain_winning_trades,56,40
资本利得亏损笔数,capital_gain_losing_trades,20,37
资本利得持平笔数,capital_gain_flat_trades,2,1
资本利得交易胜率,capital_gain_trade_win_rate,0.717948717948718,0.5128205128205128
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.2844871794871158,0.4987179487179502
资本利得中位数_BP,capital_gain_median_trade_bp,0.6699999999999935,0.07999999999999324
平均每笔盈利_BP,capital_gain_avg_win_bp,2.3891071428570547,2.752000000000001
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.6800000000000026,-1.9237837837837817
资本利得盈亏比,capital_gain_profit_loss_ratio,1.422087585033959,1.4305141893790412
最佳交易_BP,capital_gain_best_trade_bp,15.530000000000022,15.499999999999993
最差交易_BP,capital_gain_worst_trade_bp,-8.400000000000004,-8.71
平均每笔持有交易日,capital_gain_avg_holding_days,3.051282051282051,3.051282051282051
最长单笔持有交易日,capital_gain_max_holding_days,21,21
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-10.329999999999053,-26.049999999997947
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-02-09,2022-01-13
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-04-08,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,3,5
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
