指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1086,1086
期末净值,final_nav,1.1185282415004885,1.0561594193718735
累计收益率,total_return,0.11852824150048846,0.05615941937187352
年化收益率,annual_return,0.02635746964019159,0.012771245305201795
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.012357469640191588,-0.0012287546947982054
年化波动率,annual_volatility,0.01029381281386155,0.010345706573871833
夏普比率,sharpe,1.2004754568250102,-0.11876952879191793
最大回撤,max_drawdown,-0.007413030758259054,-0.010857524638922311
最大回撤起点,max_drawdown_start,2024-04-25,2024-04-23
最大回撤终点,max_drawdown_end,2024-04-29,2024-04-29
Calmar比率,calmar,3.555559190257781,1.176257547638357
日胜率_参考,win_rate,0.16114180478821363,0.1427255985267035
调仓周期数,signal_period_count,220,220
盈利调仓周期数,winning_signal_periods,46,37
调仓周期胜率,signal_period_win_rate,0.20909090909090908,0.16818181818181818
单周期平均收益,avg_signal_period_return,0.0005105573982115308,0.0002496428647828609
累计资本利得_BP（收益率变动）,capital_gain_total_bp,98.63999999999807,35.14000000000104
年化资本利得_BP,capital_gain_annualized_bp,22.909935483870516,8.161548387097014
资本利得交易笔数,capital_gain_trade_count,36,36
已平仓交易笔数,capital_gain_closed_trade_count,36,36
资本利得盈利笔数,capital_gain_winning_trades,26,20
资本利得亏损笔数,capital_gain_losing_trades,10,16
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7222222222222222,0.5555555555555556
平均单笔资本利得_BP,capital_gain_avg_trade_bp,2.739999999999947,0.9761111111111399
资本利得中位数_BP,capital_gain_median_trade_bp,2.1550000000005074,0.36500000000000077
平均每笔盈利_BP,capital_gain_avg_win_bp,4.528846153846154,3.7485000000000523
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.9110000000001939,-2.4893750000000003
资本利得盈亏比,capital_gain_profit_loss_ratio,2.3698828643881185,1.505799648506172
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-4.010000000000993,-8.800000000000994
平均每笔持有交易日,capital_gain_avg_holding_days,7.416666666666667,7.416666666666667
最长单笔持有交易日,capital_gain_max_holding_days,30,30
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-8.829999999999977,-14.040000000000024
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-04-23,2022-09-01
资本利得最大回撤终点,capital_gain_max_drawdown_end,2024-04-29,2022-09-30
最长连续亏损笔数,capital_gain_longest_losing_streak,2,4
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
