指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1086,1086
期末净值,final_nav,1.0509587300587102,1.0332618752327731
累计收益率,total_return,0.05095873005871021,0.03326187523277313
年化收益率,annual_return,0.01161076939579564,0.0076285894343033345
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,-0.002389230604204361,-0.006371410565696666
年化波动率,annual_volatility,0.006684213902157984,0.007240623472457698
夏普比率,sharpe,-0.35744376813450013,-0.8799533064980669
最大回撤,max_drawdown,-0.00413422081324899,-0.006385132155663054
最大回撤起点,max_drawdown_start,2022-08-09,2023-09-21
最大回撤终点,max_drawdown_end,2022-12-22,2023-11-27
Calmar比率,calmar,2.808454100609832,1.194742606468598
日胜率_参考,win_rate,0.055248618784530384,0.04880294659300184
调仓周期数,signal_period_count,1068,1068
盈利调仓周期数,winning_signal_periods,53,48
调仓周期胜率,signal_period_win_rate,0.04962546816479401,0.0449438202247191
单周期平均收益,avg_signal_period_return,4.6641074070170505e-05,3.0751074758431864e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,46.11000000000389,27.75999999999897
年化资本利得_BP,capital_gain_annualized_bp,10.709419354839614,6.447483870967503
资本利得交易笔数,capital_gain_trade_count,35,35
已平仓交易笔数,capital_gain_closed_trade_count,35,35
资本利得盈利笔数,capital_gain_winning_trades,21,18
资本利得亏损笔数,capital_gain_losing_trades,14,17
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.6,0.5142857142857142
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.3174285714286824,0.7931428571428275
资本利得中位数_BP,capital_gain_median_trade_bp,0.5000000000000143,0.14999999999997654
平均盈利交易_BP,capital_gain_avg_win_bp,3.0366666666667594,2.9005555555556097
平均亏损交易_BP,capital_gain_avg_loss_bp,-1.2614285714284328,-1.438235294117765
资本利得盈亏比,capital_gain_profit_loss_ratio,2.4073235183091337,2.01674619404668
最佳交易_BP,capital_gain_best_trade_bp,17.629999999999,18.080000000000005
最差交易_BP,capital_gain_worst_trade_bp,-2.5599999999990213,-3.7200000000000086
平均每笔持有交易日,capital_gain_avg_holding_days,2.5428571428571427,2.5428571428571427
最长单笔持有交易日,capital_gain_max_holding_days,21,21
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-6.009999999997061,-8.840000000001035
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-08-09,2023-09-21
资本利得最大回撤终点,capital_gain_max_drawdown_end,2023-11-29,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,4,3
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
