指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-14,2026-07-14
交易日数,trading_days,1088,1088
期末净值,final_nav,1.0996679396920472,1.046017394428231
累计收益率,total_return,0.09966793969204724,0.04601739442823094
年化收益率,annual_return,0.02227019371189609,0.010484645944439652
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.008270193711896091,-0.003515354055560348
年化波动率,annual_volatility,0.009362462114751604,0.010219218606138924
夏普比率,sharpe,0.883335346037393,-0.343994408089929
最大回撤,max_drawdown,-0.008497007104180332,-0.014136228093164949
最大回撤起点,max_drawdown_start,2022-08-04,2022-01-18
最大回撤终点,max_drawdown_end,2022-09-30,2022-07-08
Calmar比率,calmar,2.620945638722565,0.7416862458175187
日胜率_参考,win_rate,0.12959558823529413,0.11121323529411764
调仓周期数,signal_period_count,1070,1070
盈利调仓周期数,winning_signal_periods,134,116
调仓周期胜率,signal_period_win_rate,0.1252336448598131,0.10841121495327102
单周期平均收益,avg_signal_period_return,8.898511530099357e-05,4.2265859424048545e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,84.17000000000279,28.50999999999625
年化资本利得_BP,capital_gain_annualized_bp,19.513192272309755,6.609494020238321
资本利得交易笔数,capital_gain_trade_count,82,82
已平仓交易笔数,capital_gain_closed_trade_count,82,82
资本利得盈利笔数,capital_gain_winning_trades,55,39
资本利得亏损笔数,capital_gain_losing_trades,25,42
资本利得持平笔数,capital_gain_flat_trades,2,1
资本利得交易胜率,capital_gain_trade_win_rate,0.6707317073170732,0.47560975609756095
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.0264634146341802,0.3476829268292225
资本利得中位数_BP,capital_gain_median_trade_bp,0.7200000000000089,-0.059999999999990616
平均每笔盈利_BP,capital_gain_avg_win_bp,2.3014545454545803,2.394102564102591
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.6963999999999644,-1.544285714285829
资本利得盈亏比,capital_gain_profit_loss_ratio,1.356669739126756,1.550297682582506
最佳交易_BP,capital_gain_best_trade_bp,16.450000000000006,18.11
最差交易_BP,capital_gain_worst_trade_bp,-5.4700000000009945,-8.699999999999992
平均每笔持有交易日,capital_gain_avg_holding_days,2.5609756097560976,2.5609756097560976
最长单笔持有交易日,capital_gain_max_holding_days,18,18
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-13.759999999997039,-23.440000000001895
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-08-04,2022-01-18
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-11-25,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,7,7
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
