指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1131,1131
期末净值,final_nav,1.0923543482142684,1.0699393407379565
累计收益率,total_return,0.09235434821426836,0.06993934073795649
年化收益率,annual_return,0.019894874686507524,0.015190048053492333
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.005894874686507524,0.001190048053492333
年化波动率,annual_volatility,0.012074165141931211,0.014774284661436165
夏普比率,sharpe,0.488222135212958,0.08054860731082271
最大回撤,max_drawdown,-0.009391621504893033,-0.02302360445157159
最大回撤起点,max_drawdown_start,2022-08-24,2022-04-15
最大回撤终点,max_drawdown_end,2022-11-29,2023-01-20
Calmar比率,calmar,2.118364190480025,0.6597597732988963
日胜率_参考,win_rate,0.1927497789566755,0.1874447391688771
调仓周期数,signal_period_count,1112,1112
盈利调仓周期数,winning_signal_periods,210,205
调仓周期胜率,signal_period_win_rate,0.18884892086330934,0.1843525179856115
单周期平均收益,avg_signal_period_return,7.973306523656554e-05,6.122619636011208e-05
累计资本利得_BP,capital_gain_total_bp,60.90999999998799,39.0100000000012
年化资本利得_BP,capital_gain_annualized_bp,13.583469026545993,8.699575221239206
资本利得交易笔数,capital_gain_trade_count,187,187
已平仓交易笔数,capital_gain_closed_trade_count,187,187
资本利得盈利笔数,capital_gain_winning_trades,104,104
资本利得亏损笔数,capital_gain_losing_trades,81,81
资本利得持平笔数,capital_gain_flat_trades,2,2
资本利得交易胜率,capital_gain_trade_win_rate,0.5561497326203209,0.5561497326203209
平均单笔资本利得_BP,capital_gain_avg_trade_bp,0.32572192513362563,0.20860962566845562
资本利得中位数_BP,capital_gain_median_trade_bp,0.1100000000000059,0.2600000000009886
平均每笔盈利_BP,capital_gain_avg_win_bp,1.6854807692306732,1.729807692307684
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.4120987654321235,-1.7393827160493573
资本利得盈亏比,capital_gain_profit_loss_ratio,1.1935997753775323,0.9944951598901586
最佳交易_BP,capital_gain_best_trade_bp,13.440000000000015,11.08999999999999
最差交易_BP,capital_gain_worst_trade_bp,-6.749999999999984,-7.99000000000001
平均每笔持有交易日,capital_gain_avg_holding_days,1.946524064171123,1.946524064171123
最长单笔持有交易日,capital_gain_max_holding_days,11,11
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-14.360000000001975,-35.51999999999903
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-08-09,2022-01-24
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-11-29,2023-01-20
最长连续亏损笔数,capital_gain_longest_losing_streak,5,7
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
