指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1129,1129
期末净值,final_nav,1.1038266765053273,1.035146513020533
累计收益率,total_return,0.10382667650532729,0.035146513020533066
年化收益率,annual_return,0.02231384027848171,0.007746900800501111
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.008313840278481711,-0.0062530991994988894
年化波动率,annual_volatility,0.009124733797098186,0.009462257337838556
夏普比率,sharpe,0.9111323643354559,-0.6608464530438645
最大回撤,max_drawdown,-0.010600757187753107,-0.01209585110214706
最大回撤起点,max_drawdown_start,2024-11-12,2024-11-12
最大回撤终点,max_drawdown_end,2025-08-14,2025-08-15
Calmar比率,calmar,2.1049289105744777,0.6404593389154738
日胜率_参考,win_rate,0.13817537643932684,0.11160318866253321
调仓周期数,signal_period_count,228,228
盈利调仓周期数,winning_signal_periods,40,33
调仓周期胜率,signal_period_win_rate,0.17543859649122806,0.14473684210526316
单周期平均收益,avg_signal_period_return,0.00043457534506319284,0.00015254626487487495
累计资本利得_BP,capital_gain_total_bp,87.97000000000097,15.770000000000964
年化资本利得_BP,capital_gain_annualized_bp,19.65287234042575,3.523085106383194
资本利得交易笔数,capital_gain_trade_count,28,28
已平仓交易笔数,capital_gain_closed_trade_count,28,28
资本利得盈利笔数,capital_gain_winning_trades,22,17
资本利得亏损笔数,capital_gain_losing_trades,6,11
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7857142857142857,0.6071428571428571
平均单笔资本利得_BP,capital_gain_avg_trade_bp,3.1417857142857497,0.5632142857143201
资本利得中位数_BP,capital_gain_median_trade_bp,3.2750000000000137,0.4449999999994907
平均每笔盈利_BP,capital_gain_avg_win_bp,4.728636363636455,3.1570588235292916
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.676666666666834,-3.445454545454272
资本利得盈亏比,capital_gain_profit_loss_ratio,1.7666138344842437,0.916296756169524
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000017,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-7.339999999999986,-6.819999999999014
平均每笔持有交易日,capital_gain_avg_holding_days,8.142857142857142,8.142857142857142
最长单笔持有交易日,capital_gain_max_holding_days,20,20
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-13.680000000000007,-17.72999999999901
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-11-12,2024-11-12
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-08-14,2026-06-10
最长连续亏损笔数,capital_gain_longest_losing_streak,2,3
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
