指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-09-04,2026-09-04
交易日数,trading_days,1124,1124
期末净值,final_nav,1.1156964120574,1.0400730891256031
累计收益率,total_return,0.1156964120574,0.040073089125603145
年化收益率,annual_return,0.024871177860051885,0.008855838835439167
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.010871177860051885,-0.005144161164560833
年化波动率,annual_volatility,0.009719923219358646,0.010220712397148482
夏普比率,sharpe,1.1184427710704903,-0.5033074960602574
最大回撤,max_drawdown,-0.00652969724793806,-0.009269243407389771
最大回撤起点,max_drawdown_start,2024-11-12,2024-11-12
最大回撤终点,max_drawdown_end,2025-03-14,2025-03-11
Calmar比率,calmar,3.8089327752378837,0.9554003974454891
日胜率_参考,win_rate,0.1583629893238434,0.12722419928825623
调仓周期数,signal_period_count,227,227
盈利调仓周期数,winning_signal_periods,45,36
调仓周期胜率,signal_period_win_rate,0.19823788546255505,0.15859030837004406
单周期平均收益,avg_signal_period_return,0.0004836534696350921,0.00017420567014362094
累计资本利得_BP（收益率变动）,capital_gain_total_bp,96.70999999999808,18.790000000001058
年化资本利得_BP,capital_gain_annualized_bp,21.701620658948812,4.216455921638706
资本利得交易笔数,capital_gain_trade_count,32,32
已平仓交易笔数,capital_gain_closed_trade_count,32,32
资本利得盈利笔数,capital_gain_winning_trades,28,19
资本利得亏损笔数,capital_gain_losing_trades,4,13
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.875,0.59375
平均单笔资本利得_BP,capital_gain_avg_trade_bp,3.02218749999994,0.5871875000000333
资本利得中位数_BP,capital_gain_median_trade_bp,3.0849999999999977,0.3699999999995026
平均每笔盈利_BP,capital_gain_avg_win_bp,3.880357142857075,3.10315789473679
平均每笔亏损_BP,capital_gain_avg_loss_bp,-2.985000000000002,-3.089999999999842
资本利得盈亏比,capital_gain_profit_loss_ratio,1.2999521416606608,1.0042582183614719
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-7.339999999999986,-5.739999999999009
平均每笔持有交易日,capital_gain_avg_holding_days,8.03125,8.03125
最长单笔持有交易日,capital_gain_max_holding_days,20,20
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-8.039999999999964,-13.580000000000018
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-11-12,2022-09-01
资本利得最大回撤终点,capital_gain_max_drawdown_end,2025-03-14,2023-11-27
最长连续亏损笔数,capital_gain_longest_losing_streak,1,3
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
