指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-17,2026-07-17
交易日数,trading_days,1091,1091
期末净值,final_nav,1.1206100291158623,1.0481681347423926
累计收益率,total_return,0.12061002911586227,0.048168134742392565
年化收益率,annual_return,0.0266762569238288,0.01093559032209579
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.0126762569238288,-0.0030644096779042108
年化波动率,annual_volatility,0.009924230988591104,0.010608666266275515
夏普比率,sharpe,1.2773036962160016,-0.2888590894451864
最大回撤,max_drawdown,-0.005768900595631399,-0.014805546992378682
最大回撤起点,max_drawdown_start,2022-02-10,2022-01-13
最大回撤终点,max_drawdown_end,2022-04-08,2022-11-30
Calmar比率,calmar,4.624149173939635,0.7386144076760558
日胜率_参考,win_rate,0.1466544454628781,0.12190650779101742
调仓周期数,signal_period_count,1075,1075
盈利调仓周期数,winning_signal_periods,153,128
调仓周期胜率,signal_period_win_rate,0.14232558139534884,0.11906976744186047
单周期平均收益,avg_signal_period_return,0.00010614402724551252,4.399710430139487e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,103.64000000000182,29.190000000005185
年化资本利得_BP,capital_gain_annualized_bp,23.96080733944996,6.748513761469088
资本利得交易笔数,capital_gain_trade_count,77,77
已平仓交易笔数,capital_gain_closed_trade_count,77,77
资本利得盈利笔数,capital_gain_winning_trades,54,36
资本利得亏损笔数,capital_gain_losing_trades,20,40
资本利得持平笔数,capital_gain_flat_trades,3,1
资本利得交易胜率,capital_gain_trade_win_rate,0.7012987012987013,0.4675324675324675
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.3459740259740496,0.37909090909097637
资本利得中位数_BP,capital_gain_median_trade_bp,0.7399999999999768,-0.03999999999899917
平均每笔盈利_BP,capital_gain_avg_win_bp,2.5325925925926103,2.9125000000000583
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.6559999999999557,-1.8914999999999225
资本利得盈亏比,capital_gain_profit_loss_ratio,1.529343353014902,1.5397832408142627
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-5.4700000000009945,-8.699999999999992
平均每笔持有交易日,capital_gain_avg_holding_days,3.0,3.0
最长单笔持有交易日,capital_gain_max_holding_days,19,19
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-10.009999999999012,-25.409999999999908
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-08-04,2022-01-13
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-11-25,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,3,5
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
