指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-07-17,2026-07-17
交易日数,trading_days,1091,1091
期末净值,final_nav,1.1575581391508405,1.0618837846494096
累计收益率,total_return,0.1575581391508405,0.06188378464940958
年化收益率,annual_return,0.034405049697633805,0.01397864471837229
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.020405049697633806,-2.135528162770968e-05
年化波动率,annual_volatility,0.013664969529580146,0.01430069385106573
夏普比率,sharpe,1.4932378483145252,-0.0014933038809245064
最大回撤,max_drawdown,-0.008019446582520406,-0.024264670555776968
最大回撤起点,max_drawdown_start,2022-05-18,2022-01-28
最大回撤终点,max_drawdown_end,2022-11-25,2022-11-30
Calmar比率,calmar,4.290202490110079,0.5760904392350893
日胜率_参考,win_rate,0.229147571035747,0.19615032080659944
调仓周期数,signal_period_count,1072,1072
盈利调仓周期数,winning_signal_periods,244,210
调仓周期胜率,signal_period_win_rate,0.22761194029850745,0.1958955223880597
单周期平均收益,avg_signal_period_return,0.00013687133650525262,5.642190961799857e-05
累计资本利得_BP（收益率变动）,capital_gain_total_bp,123.93000000000407,29.419999999997184
年化资本利得_BP,capital_gain_annualized_bp,28.65170642201929,6.801688073393844
资本利得交易笔数,capital_gain_trade_count,103,103
已平仓交易笔数,capital_gain_closed_trade_count,103,103
资本利得盈利笔数,capital_gain_winning_trades,60,52
资本利得亏损笔数,capital_gain_losing_trades,40,51
资本利得持平笔数,capital_gain_flat_trades,3,0
资本利得交易胜率,capital_gain_trade_win_rate,0.5825242718446602,0.5048543689320388
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.2032038834951848,0.2856310679611378
资本利得中位数_BP,capital_gain_median_trade_bp,0.44999999999999907,0.020000000000991447
平均每笔盈利_BP,capital_gain_avg_win_bp,3.253166666666687,2.784615384615309
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.7814999999999288,-2.2623529411764487
资本利得盈亏比,capital_gain_profit_loss_ratio,1.8260828889513427,1.2308492339693373
最佳交易_BP,capital_gain_best_trade_bp,18.010000000000005,14.940000000000023
最差交易_BP,capital_gain_worst_trade_bp,-5.439999999998987,-12.309999999999995
平均每笔持有交易日,capital_gain_avg_holding_days,3.766990291262136,3.766990291262136
最长单笔持有交易日,capital_gain_max_holding_days,20,20
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-14.490000000001006,-35.9199999999989
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-05-18,2022-01-28
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-11-25,2022-11-30
最长连续亏损笔数,capital_gain_longest_losing_streak,5,7
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
