指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1131,1131
期末净值,final_nav,1.078362285564413,1.065696329901265
累计收益率,total_return,0.07836228556441305,0.06569632990126495
年化收益率,annual_return,0.016966895555985184,0.01429085160377519
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.002966895555985184,0.0002908516037751895
年化波动率,annual_volatility,0.007968387680852833,0.009813613441076877
夏普比率,sharpe,0.3723332341264357,0.029637564748349565
最大回撤,max_drawdown,-0.004803466943183898,-0.0098131280504965
最大回撤起点,max_drawdown_start,2022-02-10,2022-01-13
最大回撤终点,max_drawdown_end,2022-02-14,2022-03-02
Calmar比率,calmar,3.5322186572057386,1.4562993094798287
日胜率_参考,win_rate,0.08930150309460655,0.08399646330680813
调仓周期数,signal_period_count,1112,1112
盈利调仓周期数,winning_signal_periods,93,88
调仓周期胜率,signal_period_win_rate,0.08363309352517985,0.07913669064748201
单周期平均收益,avg_signal_period_return,6.79737351594229e-05,5.740768601960526e-05
累计资本利得_BP,capital_gain_total_bp,69.90000000000593,56.81000000000006
年化资本利得_BP,capital_gain_annualized_bp,15.58831858407212,12.669132743362846
资本利得交易笔数,capital_gain_trade_count,51,51
已平仓交易笔数,capital_gain_closed_trade_count,51,51
资本利得盈利笔数,capital_gain_winning_trades,36,35
资本利得亏损笔数,capital_gain_losing_trades,15,16
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.7058823529411765,0.6862745098039216
平均单笔资本利得_BP,capital_gain_avg_trade_bp,1.370588235294234,1.113921568627452
资本利得中位数_BP,capital_gain_median_trade_bp,0.6000000000000103,0.449999999999999
平均每笔盈利_BP,capital_gain_avg_win_bp,2.3958333333334982,2.5054285714284883
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.0900000000000007,-1.929999999999814
资本利得盈亏比,capital_gain_profit_loss_ratio,2.198012232416052,1.2981495188749894
最佳交易_BP,capital_gain_best_trade_bp,17.929999999999993,14.280000000000024
最差交易_BP,capital_gain_worst_trade_bp,-4.159999999999997,-7.91
平均每笔持有交易日,capital_gain_avg_holding_days,2.8823529411764706,2.8823529411764706
最长单笔持有交易日,capital_gain_max_holding_days,26,26
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-5.959999999999993,-12.159999999999982
资本利得最大回撤起点,capital_gain_max_drawdown_start,2022-02-09,2022-01-13
资本利得最大回撤终点,capital_gain_max_drawdown_end,2022-02-14,2022-03-02
最长连续亏损笔数,capital_gain_longest_losing_streak,3,3
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
