指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1131,1131
期末净值,final_nav,1.1888996216366798,1.1196129723938464
累计收益率,total_return,0.18889962163667984,0.11961297239384638
年化收益率,annual_return,0.03934095790048442,0.025516331079018517
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.02534095790048442,0.011516331079018517
年化波动率,annual_volatility,0.01446789681474296,0.016614717338091754
夏普比率,sharpe,1.7515301791938191,0.6931403553050876
最大回撤,max_drawdown,-0.015128594274956608,-0.02062055738152424
最大回撤起点,max_drawdown_start,2025-07-04,2022-01-28
最大回撤终点,max_drawdown_end,2025-12-15,2022-05-16
Calmar比率,calmar,2.6004371050923205,1.2374219865599185
日胜率_参考,win_rate,0.3191865605658709,0.2891246684350133
调仓周期数,signal_period_count,1112,1112
盈利调仓周期数,winning_signal_periods,359,325
调仓周期胜率,signal_period_win_rate,0.322841726618705,0.2922661870503597
单周期平均收益,avg_signal_period_return,0.00015602963480310835,0.00010215905799974145
累计资本利得_BP,capital_gain_total_bp,135.14000000001266,70.37000000001188
年化资本利得_BP,capital_gain_annualized_bp,30.137415929206366,15.693132743365483
资本利得交易笔数,capital_gain_trade_count,234,234
已平仓交易笔数,capital_gain_closed_trade_count,234,234
资本利得盈利笔数,capital_gain_winning_trades,141,133
资本利得亏损笔数,capital_gain_losing_trades,90,99
资本利得持平笔数,capital_gain_flat_trades,3,2
资本利得交易胜率,capital_gain_trade_win_rate,0.6025641025641025,0.5683760683760684
平均单笔资本利得_BP,capital_gain_avg_trade_bp,0.5775213675214216,0.3007264957265465
资本利得中位数_BP,capital_gain_median_trade_bp,0.47500000000000664,0.31000000000001515
平均每笔盈利_BP,capital_gain_avg_win_bp,1.832978723404305,1.888345864661684
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.3701111111110473,-1.8260606060605262
资本利得盈亏比,capital_gain_profit_loss_ratio,1.3378321718140875,1.0341090861904796
最佳交易_BP,capital_gain_best_trade_bp,10.400000000000027,12.540000000000017
最差交易_BP,capital_gain_worst_trade_bp,-5.719999999999995,-7.409999999999986
平均每笔持有交易日,capital_gain_avg_holding_days,2.4188034188034186,2.4188034188034186
最长单笔持有交易日,capital_gain_max_holding_days,9,9
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-22.150000000002024,-28.179999999996017
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-07-04,2022-01-28
资本利得最大回撤终点,capital_gain_max_drawdown_end,2026-01-14,2022-05-16
最长连续亏损笔数,capital_gain_longest_losing_streak,7,9
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
