指标,字段,策略,基准
起始日期,start_date,2022-01-17,2022-01-17
结束日期,end_date,2026-07-20,2026-07-20
交易日数,trading_days,1090,1090
期末净值,final_nav,1.087860418727042,1.0499551095793573
累计收益率,total_return,0.08786041872704198,0.04995510957935734
年化收益率,annual_return,0.019678387035591216,0.011344256043265277
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,0.005678387035591216,-0.002655743956734723
年化波动率,annual_volatility,0.008416529883665425,0.008673049190215394
夏普比率,sharpe,0.6746708101888496,-0.30620649076115386
最大回撤,max_drawdown,-0.005391114119991158,-0.007033861617115833
最大回撤起点,max_drawdown_start,2025-11-11,2024-04-23
最大回撤终点,max_drawdown_end,2026-05-06,2024-04-26
Calmar比率,calmar,3.6501521944453827,1.6128062593186017
日胜率_参考,win_rate,0.10366972477064221,0.08990825688073395
调仓周期数,signal_period_count,221,221
盈利调仓周期数,winning_signal_periods,30,24
调仓周期胜率,signal_period_win_rate,0.13574660633484162,0.1085972850678733
单周期平均收益,avg_signal_period_return,0.0003820618162469503,0.0002215463527696705
累计资本利得_BP（收益率变动）,capital_gain_total_bp,78.55999999999992,39.059999999999995
年化资本利得_BP,capital_gain_annualized_bp,18.17917355371899,9.038677685950413
资本利得交易笔数,capital_gain_trade_count,25,25
已平仓交易笔数,capital_gain_closed_trade_count,25,25
资本利得盈利笔数,capital_gain_winning_trades,21,17
资本利得亏损笔数,capital_gain_losing_trades,4,8
资本利得持平笔数,capital_gain_flat_trades,0,0
资本利得交易胜率,capital_gain_trade_win_rate,0.84,0.68
平均单笔资本利得_BP,capital_gain_avg_trade_bp,3.1423999999999963,1.5623999999999998
资本利得中位数_BP,capital_gain_median_trade_bp,2.8300000000000196,0.44999999999899276
平均每笔盈利_BP,capital_gain_avg_win_bp,3.8952380952381382,3.3094117647058803
平均每笔亏损_BP,capital_gain_avg_loss_bp,-0.8100000000002464,-2.149999999999995
资本利得盈亏比,capital_gain_profit_loss_ratio,4.808935920045621,1.5392612859097152
最佳交易_BP,capital_gain_best_trade_bp,15.800000000000015,14.610000000000005
最差交易_BP,capital_gain_worst_trade_bp,-2.109999999999994,-5.439999999998987
平均每笔持有交易日,capital_gain_avg_holding_days,6.48,6.48
最长单笔持有交易日,capital_gain_max_holding_days,19,19
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-7.059999999999988,-9.720000000000049
资本利得最大回撤起点,capital_gain_max_drawdown_start,2025-11-11,2025-04-29
资本利得最大回撤终点,capital_gain_max_drawdown_end,2026-05-06,2026-05-06
最长连续亏损笔数,capital_gain_longest_losing_streak,4,3
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
asset_name,asset_name,10Y地方政府债,
