指标,字段,策略,基准
起始日期,start_date,2022-01-13,2022-01-13
结束日期,end_date,2026-09-11,2026-09-11
交易日数,trading_days,1131,1131
期末净值,final_nav,1.0175982672292503,1.006879535420085
累计收益率,total_return,0.017598267229250286,0.0068795354200850145
年化收益率,annual_return,0.003898013962136515,0.001530113507479225
无风险利率_年化,risk_free_rate_annual,0.014,0.014
超额年化收益率,excess_annual_return,-0.010101986037863485,-0.012469886492520775
年化波动率,annual_volatility,0.005073025753523727,0.005820785825481511
夏普比率,sharpe,-1.9913137698634074,-2.1423029237618847
最大回撤,max_drawdown,-0.006478023278735923,-0.008821932951562306
最大回撤起点,max_drawdown_start,2024-01-03,2025-04-30
最大回撤终点,max_drawdown_end,2024-10-11,2025-09-29
Calmar比率,calmar,0.6017289216807425,0.17344424582236845
日胜率_参考,win_rate,0.027409372236958444,0.022104332449160036
调仓周期数,signal_period_count,1112,1112
盈利调仓周期数,winning_signal_periods,25,21
调仓周期胜率,signal_period_win_rate,0.022482014388489208,0.018884892086330936
单周期平均收益,avg_signal_period_return,1.5745430982109975e-05,6.2357140429047584e-06
累计资本利得_BP,capital_gain_total_bp,14.860000000001122,3.200000000000878
年化资本利得_BP,capital_gain_annualized_bp,3.313911504425029,0.7136283185842667
资本利得交易笔数,capital_gain_trade_count,27,27
已平仓交易笔数,capital_gain_closed_trade_count,27,27
资本利得盈利笔数,capital_gain_winning_trades,18,14
资本利得亏损笔数,capital_gain_losing_trades,8,12
资本利得持平笔数,capital_gain_flat_trades,1,1
资本利得交易胜率,capital_gain_trade_win_rate,0.6666666666666666,0.5185185185185185
平均单笔资本利得_BP,capital_gain_avg_trade_bp,0.5503703703704119,0.118518518518551
资本利得中位数_BP,capital_gain_median_trade_bp,0.2400000000000318,0.0599999999999906
平均每笔盈利_BP,capital_gain_avg_win_bp,1.6983333333333375,1.718571428571492
平均每笔亏损_BP,capital_gain_avg_loss_bp,-1.9637499999998693,-1.7383333333333342
资本利得盈亏比,capital_gain_profit_loss_ratio,0.8648419265860983,0.9886316942884896
最佳交易_BP,capital_gain_best_trade_bp,6.029999999999994,7.069999999999993
最差交易_BP,capital_gain_worst_trade_bp,-6.5799999999999885,-5.490000000000009
平均每笔持有交易日,capital_gain_avg_holding_days,1.7777777777777777,1.7777777777777777
最长单笔持有交易日,capital_gain_max_holding_days,8,8
资本利得最大回撤_BP,capital_gain_max_drawdown_bp,-7.849999999999976,-10.269999999999062
资本利得最大回撤起点,capital_gain_max_drawdown_start,2024-01-03,2025-04-29
资本利得最大回撤终点,capital_gain_max_drawdown_end,2024-10-11,2025-09-29
最长连续亏损笔数,capital_gain_longest_losing_streak,5,2
当前未平仓交易数,capital_gain_open_trade_count,0,0
当前未平仓资本利得_BP,capital_gain_open_trade_bp,0.0,0.0
capital_gain_bp_definition,capital_gain_bp_definition,收益率方向变动BP（不乘久期）,
